Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
2002,Wizards,E,1426.1780268292682,92.79268292682927,2,"847,634","20,674",--,"19,939",121.7,"20,306",247.9,82,37,45
2003,76ers,E,1550.858809574468,96.23404255319149,4,"807,097","19,685",96.3,"18,408",122.0,"19,046",107.2,82,33,49
2003,Bucks,E,1482.206253409091,99.375,17,"665,966","16,243",86.8,"16,327",107.8,"16,285",96.2,82,41,41
2003,Bulls,E,1364.2428914634143,94.95121951219512,5,"804,303","19,617",90.4,"16,268",108.6,"17,942",97.8,82,23,59
2003,Cavaliers,E,1316.749458536586,91.40243902439025,29,"471,374","11,496",55.9,"16,087",107.1,"13,792",77.5,82,35,47
2003,Celtics,E,1521.8609673913045,92.8804347826087,13,"709,049","17,293",92.9,"17,263",111.1,"17,278",101.2,82,36,46
2003,Clippers,W,1425.5222134146338,93.8170731707317,14,"706,471","17,231",--,"16,276",112.5,"16,753",231.7,82,28,54
2003,Grizzlies,W,1386.7209024390243,97.5,24,"611,322","14,910",--,"16,277",112.5,"15,593",215.6,82,56,26
2003,Hawks,E,1423.2803256097563,94.07317073170732,28,"528,655","12,894",--,"16,294",101.3,"14,594",181.4,82,50,32
2003,Heat,E,1418.229819512195,85.5609756097561,22,"628,242","15,322",78.2,"15,844",105.5,"15,583",90.0,82,28,54
2003,Jazz,W,1557.6571931034482,94.5632183908046,7,"786,034","19,171",96.3,"16,585",122.9,"17,878",107.0,82,42,40
2003,Kings,W,1667.3842648936168,102.52127659574468,12,"709,997","17,317",100.0,"17,924",131.6,"17,620",113.9,82,42,40
2003,Lakers,W,1602.587070212766,100.35106382978724,8,"779,479","19,011",98.6,"17,104",113.5,"18,058",105.1,82,55,27
2003,Magic,E,1497.4846752808992,97.65168539325843,9,"777,888","18,972",98.4,"19,107",141.3,"19,040",116.1,82,39,43
2003,Mavericks,W,1690.3159294117647,103.19607843137256,26,"605,901","14,778",85.7,"17,305",114.4,"16,041",99.1,82,21,61
2003,NY Knicks,E,1442.3498670731706,95.85365853658537,3,"816,429","19,912",--,"17,618",121.8,"18,765",259.5,82,52,30
2003,Nets,E,1596.1890058823535,95.02941176470588,23,"622,574","15,184",76.0,"16,956",112.4,"16,070",91.6,82,47,35
2003,Nuggets,W,1336.392075609756,84.15853658536585,25,"607,813","14,824",--,"16,299",112.7,"15,562",215.2,82,43,39
2003,Pacers,E,1552.4837329545453,96.44318181818181,15,"670,461","16,352",89.1,"16,856",110.9,"16,604",99.0,82,61,21
